37.91780996317582, -122.33183728618985, 2.0
37.917465058248716, -122.33199285431272, 2.0
37.91742273851436, -122.33202235861188, 5
37.91727885123542, -122.33208673162824, 5
37.917166703602255, -122.3321350113905, 2.0
37.91648111812696, -122.3324407832182, 2.0
37.91641552165087, -122.33245687647229, 5
37.91589369623551, -122.33269008980545, 5
37.91545356040559, -122.33289125548157, 5
37.91521656309865, -122.33299854384217, 5
37.914918199331886, -122.33313265429291, 5
37.91480393203689, -122.33319970951828, 2.0
37.9141775748223, -122.33347865925583, 2.0
37.91412255670404, -122.33351084576401, 5
37.9137776344866, -122.33364227400574, 5
37.91366971370602, -122.3336717783049, 2
37.912692071186356, -122.33414116488251, 2.0
37.91259472944506, -122.33418139801773, 5
37.91230270344832, -122.33430746184143, 5
